USER_PSEUDO_ID,TEST_VERSION,COMMENT_TEXT,STAR_RATING,TIME_TO_CONVERT_SECONDS,Feedback Tag
2c8a81bc-96e6-47be-99a7-e23e9219d55d,Version B,"I love the new green color, it's very inviting.",4,7.01,"
  easy_to_use"
2c8a81bc-96e6-47be-99a7-e23e9219d55d,Version B,"I love the new green color, it's very inviting.",4,7.01,"
  clear_call_to_action"
2c8a81bc-96e6-47be-99a7-e23e9219d55d,Version B,"I love the new green color, it's very inviting.",4,7.01,"
  trustworthy
"
96c3b84c-2e99-44cb-ac97-ecd516da774b,Version B,"Wow, the green button really pops! Very clear.",5,14.81,"
  good_design"
96c3b84c-2e99-44cb-ac97-ecd516da774b,Version B,"Wow, the green button really pops! Very clear.",5,14.81,"
  easy_to_use
"
02cf8c8f-4829-4d87-be5d-1e4f263ddcdb,Version B,This design looks much more professional and trustworthy.,3,9.88,"
  good_design"
02cf8c8f-4829-4d87-be5d-1e4f263ddcdb,Version B,This design looks much more professional and trustworthy.,3,9.88,"
  trustworthy"
02cf8c8f-4829-4d87-be5d-1e4f263ddcdb,Version B,This design looks much more professional and trustworthy.,3,9.88,"
  easy_to_use"
02cf8c8f-4829-4d87-be5d-1e4f263ddcdb,Version B,This design looks much more professional and trustworthy.,3,9.88,"
  clear_call_to_action
"
04a68378-e460-4378-99a5-beb7c5c14745,Version A,"The blue button is okay, I guess.",2,10.18,"
  plain_design
"
25981d74-1222-4791-86d0-8ca2f309aa63,Version A,It's just a button.,2,4.95,"
  hard_to_see"
25981d74-1222-4791-86d0-8ca2f309aa63,Version A,It's just a button.,2,4.95,"
  plain_design"
25981d74-1222-4791-86d0-8ca2f309aa63,Version A,It's just a button.,2,4.95,"
  confusing
"
877097b6-1768-4b6d-8dc1-f017f0512fc9,Version A,Felt a bit hard to see the button against the background.,3,9.58,"
  plain_design"
877097b6-1768-4b6d-8dc1-f017f0512fc9,Version A,Felt a bit hard to see the button against the background.,3,9.58,"
  hard_to_see
"
1ff82b59-d719-46fc-a4d3-0a9ca124f6b8,Version A,It's just a button.,3,10.79,"
  plain_design"
1ff82b59-d719-46fc-a4d3-0a9ca124f6b8,Version A,It's just a button.,3,10.79,"
  confusing
"
65c300e8-6450-473d-a5e1-31f631dc784c,Version B,"Wow, the green button really pops! Very clear.",3,9.63,"
  clear_call_to_action
"
9473a432-83bd-4f05-ab74-ce13fb8122d3,Version B,"Wow, the green button really pops! Very clear.",5,5.42,"
  good_design"
9473a432-83bd-4f05-ab74-ce13fb8122d3,Version B,"Wow, the green button really pops! Very clear.",5,5.42,"
  easy_to_use"
9473a432-83bd-4f05-ab74-ce13fb8122d3,Version B,"Wow, the green button really pops! Very clear.",5,5.42,"
  clear_call_to_action"
9473a432-83bd-4f05-ab74-ce13fb8122d3,Version B,"Wow, the green button really pops! Very clear.",5,5.42,"
  trustworthy
"
405f5285-8574-4c3c-a6b0-07852cb6e946,Version A,Didn't really notice the button color.,3,3.5,"
  plain_design"
405f5285-8574-4c3c-a6b0-07852cb6e946,Version A,Didn't really notice the button color.,3,3.5,"
  confusing"
405f5285-8574-4c3c-a6b0-07852cb6e946,Version A,Didn't really notice the button color.,3,3.5,"
  hard_to_see
"
db4b4867-225e-4188-bc09-e1c4663e611f,Version B,"Wow, the green button really pops! Very clear.",3,6.08,"
  clear_call_to_action"
db4b4867-225e-4188-bc09-e1c4663e611f,Version B,"Wow, the green button really pops! Very clear.",3,6.08,"
  easy_to_use"
db4b4867-225e-4188-bc09-e1c4663e611f,Version B,"Wow, the green button really pops! Very clear.",3,6.08,"
  trustworthy"
db4b4867-225e-4188-bc09-e1c4663e611f,Version B,"Wow, the green button really pops! Very clear.",3,6.08,"
  good_design
"
4517a2fb-dd89-4af7-ad08-ccf21553a7bb,Version A,Felt a bit hard to see the button against the background.,2,5.48,"
  plain_design"
4517a2fb-dd89-4af7-ad08-ccf21553a7bb,Version A,Felt a bit hard to see the button against the background.,2,5.48,"
  confusing
"
fe254b01-7d8b-423e-afbe-6c19241011e1,Version B,"I love the new green color, it's very inviting.",5,8.68,"
  trustworthy"
fe254b01-7d8b-423e-afbe-6c19241011e1,Version B,"I love the new green color, it's very inviting.",5,8.68,"
  good_design
"
44e32ddc-80c2-4436-b5ce-81e0df53b7e6,Version A,It's just a button.,3,4.13,"
  plain_design"
44e32ddc-80c2-4436-b5ce-81e0df53b7e6,Version A,It's just a button.,3,4.13,"
  hard_to_see
"
12eb8c38-b3eb-4905-9e51-4a1cd1b44e2b,Version B,The green button made it easy to know where to click.,5,8.02,"
  easy_to_use
"
b07f617a-95f7-4af4-aac9-11acf995e862,Version A,Felt a bit hard to see the button against the background.,3,3.48,"
  hard_to_see"
b07f617a-95f7-4af4-aac9-11acf995e862,Version A,Felt a bit hard to see the button against the background.,3,3.48,"
  confusing"
b07f617a-95f7-4af4-aac9-11acf995e862,Version A,Felt a bit hard to see the button against the background.,3,3.48,"
  plain_design
"
774d8e1d-3f1c-4d62-8809-73bbad358c6d,Version B,This design looks much more professional and trustworthy.,5,9.56,"
  good_design
"
ea5edc6f-5202-49fb-93a3-4479b9e53d08,Version A,It's just a button.,3,7.4,"
  hard_to_see
"
1e32de68-1965-44b1-95df-8eca932f0a31,Version A,Didn't really notice the button color.,1,10.17,"
  confusing"
1e32de68-1965-44b1-95df-8eca932f0a31,Version A,Didn't really notice the button color.,1,10.17,"
  plain_design
"
f75b739c-3b48-4a5d-b161-c39afb07c6c6,Version B,"I love the new green color, it's very inviting.",5,3.37,"
  clear_call_to_action
"
7018c248-a0cc-4d35-8cc9-27d405e6d3c8,Version B,"Wow, the green button really pops! Very clear.",3,6.57,"
  easy_to_use"
7018c248-a0cc-4d35-8cc9-27d405e6d3c8,Version B,"Wow, the green button really pops! Very clear.",3,6.57,"
  good_design"
7018c248-a0cc-4d35-8cc9-27d405e6d3c8,Version B,"Wow, the green button really pops! Very clear.",3,6.57,"
  clear_call_to_action"
7018c248-a0cc-4d35-8cc9-27d405e6d3c8,Version B,"Wow, the green button really pops! Very clear.",3,6.57,"
  trustworthy
"
590557e3-8cdf-4de7-bced-65f89333d1ad,Version B,"I love the new green color, it's very inviting.",5,3.68,"
  good_design"
590557e3-8cdf-4de7-bced-65f89333d1ad,Version B,"I love the new green color, it's very inviting.",5,3.68,"
  trustworthy"
590557e3-8cdf-4de7-bced-65f89333d1ad,Version B,"I love the new green color, it's very inviting.",5,3.68,"
  clear_call_to_action"
590557e3-8cdf-4de7-bced-65f89333d1ad,Version B,"I love the new green color, it's very inviting.",5,3.68,"
  easy_to_use
"
a14b9123-65e9-4101-9793-e7d2595a32de,Version B,"Wow, the green button really pops! Very clear.",3,3.3,"
  easy_to_use"
a14b9123-65e9-4101-9793-e7d2595a32de,Version B,"Wow, the green button really pops! Very clear.",3,3.3,"
  good_design
"
68648406-b554-4f18-9bfc-207aec66a843,Version A,Felt a bit hard to see the button against the background.,3,4.08,"
  plain_design"
68648406-b554-4f18-9bfc-207aec66a843,Version A,Felt a bit hard to see the button against the background.,3,4.08,"
  confusing
"
6cea08ef-8d11-4a0e-91b9-b5832ca40d6f,Version A,Didn't really notice the button color.,1,11.68,"
  confusing
"
